"","country.code","region","Health sector spending","General spending","Liquidity support"
"1","AFG","ASIA",19362969.58,77451878.33,0
"2","AGO","MAF",4e+07,0,0
"3","ALB","OECD+",32410658.48,149694475.1,240764891.5
"4","ARE","MAF",0,7215793056.5,0
"5","ARG","LAM",1e+06,1.1e+07,8300000
"6","ARM","REF",0,137900000,0
"7","AUS","OECD+",3e+06,1.07e+08,2.3e+07
"8","AUT","OECD+",4347826087,44555434782,9782608.7
"9","AZE","REF",4882305.08,1941157440,0
"10","BDI","MAF",0,78960227.27,0
"11","BEL","OECD+",0,15543478260,56521739130
"12","BEN","MAF",108021212.7,162031818.98,0
"13","BFA","MAF",0,0,0
"14","BGD","ASIA",0,1047130431.2,6230066638
"15","BGR","OECD+",0,1367791973,0
"16","BHR","MAF",470744680.9,1114595585.57,0
"17","BHS","LAM",4e+06,50547000,2e+07
"18","BIH","OECD+",30175280.22,1325057358.76,301752802.2
"19","BLR","REF",0,0,0
"20","BLZ","LAM",0,18712031.64,0
"21","BOL","LAM",2e+08,3.06e+08,0
"22","BRA","LAM",1.2e+07,1.12e+08,7.1e+07
"23","BRB","LAM",0,0,0
"24","BRN","ASIA",0,0,0
"25","BTN","ASIA",43395924,0,0
"26","BWA","MAF",46568741.59,60168010.37,98039455.98
"27","CAF","MAF",0,42177999.34,0
"28","CAN","OECD+",3e+06,1.45e+08,5e+07
"29","CHE","OECD+",0,33746356927.09,40904675063
"30","CHL","LAM",0,2.615e+10,3e+09
"31","CHN","ASIA",2.2e+07,8.41e+08,8e+07
"32","CIV","MAF",129021143.5,903148004.3,0
"33","CMR","MAF",105089304,44986859.57,0
"34","COD","MAF",0,141682605.9,0
"35","COG","MAF",0,180218923.1,0
"36","COL","LAM",0,9269317122,0
"37","COM","MAF",0,0,0
"38","CPV","MAF",0,23551179.88,32115245.29
"39","CRI","LAM",5372873.05,292474944,0
"40","CUB","LAM",0,0,0
"41","CYP","OECD+",108695652.2,1109593913.04,1630434.78
"42","CZE","OECD+",0,10217391304,36195652174
"43","DEU","OECD+",2.5e+07,3.07e+08,1.115e+09
"44","DJI","MAF",0,0,0
"45","DNK","OECD+",0,27387000339.62,10670259873
"46","DOM","LAM",0,5.76e+08,0
"47","DZA","MAF",249584472.6,98633038.99,171535720
"48","ECU","LAM",0,1.64e+08,0
"49","EGY","MAF",450265.62,5178054.6,0
"50","ERI","MAF",0,0,0
"51","ESP","OECD+",4615217391,40707173913,0
"52","EST","OECD+",231521739.1,633695652.1,1684782609
"53","ETH","MAF",4.3e+08,1.21e+09,0
"54","EU","EU",0,4e+07,4.43e+08
"55","FIN","OECD+",1086956522,11304347826.1,1826086957
"56","FJI","OECD+",0,479068895.3,0
"57","FRA","OECD+",9e+06,1.15e+08,3.8e+08
"58","GAB","MAF",0,6.78e+08,0
"59","GBR","OECD+",19612250.07,70710833.57,1334166.67
"60","GEO","REF",206581335.4,928925431.72,402508046.1
"61","GHA","MAF",0,3.1e+08,0
"62","GMB","MAF",0,33500000,0
"63","GNB","MAF",8e+05,9e+05,0
"64","GNQ","MAF",16118852.46,0,0
"65","GRC","OECD+",0,23913043478.26,2173913043
"66","GTM","LAM",0,2667655229,0
"67","GUM","OECD+",0,0,0
"68","GUY","LAM",0,0,0
"69","HKG","ASIA",3827262869,32850672960,0
"70","HND","LAM",215729013.9,2181260029.2,0
"71","HRV","OECD+",0,0,0
"72","HTI","LAM",38634884.68,96587211.69,0
"73","HUN","OECD+",947297476.7,2465361106,6106324055
"74","IDN","ASIA",5e+06,2.2e+07,1.3e+07
"75","IND","ASIA",2e+06,4.3e+07,1.45e+08
"76","IRL","OECD+",2e+09,7456521739,5e+09
"77","IRN","MAF",9.26e+09,3.0558e+10,2.0372e+10
"78","IRQ","MAF",0,2.5e+07,0
"79","ISL","OECD+",0,2123726921,0
"80","ISR","MAF",3063590565,11697345793,11418837560
"81","ITA","OECD+",7e+06,6.1e+07,5.83e+08
"82","JAM","LAM",0,172852997,0
"83","JOR","MAF",0,207042253.5,0
"84","JPN","OECD+",3.8e+07,7.57e+08,1.169e+09
"85","KAZ","REF",0,9863482631.33,0
"86","KEN","MAF",0,924960948.33,0
"87","KGZ","REF",1.6e+07,5.55e+08,0
"88","KHM","ASIA",6e+07,0,0
"89","KOR","ASIA",4e+06,4.4e+07,1.49e+08
"90","KWT","MAF",0,1.6e+09,0
"91","LAO","ASIA",0,6360993.51,0
"92","LBN","MAF",0,1094527363.18,0
"93","LBR","MAF",0,0,0
"94","LBY","MAF",0,366309311.6,0
"95","LKA","ASIA",0,40005346885.94,0
"96","LSO","MAF",26433226.28,83075854.01,33985576.64
"97","LTU","OECD+",543478260.9,8695652174.48,2.5e+09
"98","LUX","OECD+",210869565.2,7180434782.62,3913043478
"99","LVA","OECD+",15217391.3,1084782608.67,9e+08
"100","MAC","ASIA",0,6665170146,0
"101","MAR","MAF",0,3183877649,0
"102","MDA","REF",0,0,0
"103","MDG","MAF",0,1.6e+08,0
"104","MDV","ASIA",0,227408031.1,0
"105","MEX","LAM",2e+06,7e+06,5e+06
"106","MKD","OECD+",0,25344262.11,0
"107","MLI","MAF",0,85817164.16,0
"108","MLT","OECD+",147065217.4,1404891304.3,0
"109","MMR","ASIA",209818.38,26576995.41,69939461.62
"110","MNE","OECD+",0,210028336.3,0
"111","MNG","ASIA",6875676.3,261334982.8,0
"112","MOZ","MAF",33153086.83,0,0
"113","MRT","MAF",0,2.9e+08,0
"114","MUS","MAF",38309151.91,321472721.7,5893715.68
"115","MWI","MAF",2e+07,5e+07,0
"116","MYS","ASIA",0,15518706429.01,0
"117","NAM","MAF",166239209.4,264471469.5,173795537.1
"118","NCL","OECD+",0,0,0
"119","NER","MAF",0,0,0
"120","NGA","MAF",37200000,1.4e+09,0
"121","NIC","LAM",0,0,0
"122","NLD","OECD+",0,63913043479,33260869565
"123","NOR","OECD+",0,19674146941.29,0
"124","NPL","ASIA",0,0,0
"125","NZL","OECD+",345958911.6,20688342915,4220698722
"126","OMN","MAF",0,0,0
"127","PAK","ASIA",123128378,9727141861.2,0
"128","PAN","LAM",0,1.3e+09,0
"129","PER","LAM",334692112.5,3133935235.05,0
"130","PHL","ASIA",1112768872,10197216452.76,0
"131","PNG","ASIA",0,1707818675,0
"132","POL","OECD+",0,48687350835.63,17899761337
"133","PRI","LAM",0,0,0
"134","PRT","OECD+",0,10760869565,0
"135","PRY","LAM",5e+08,4.45e+08,0
"136","PYF","OECD+",0,0,0
"137","QAT","MAF",0,20604395604.4,0
"138","ROU","OECD+",0,4578792984,3805545102
"139","RUS","REF",3e+06,2.9e+07,1.5e+07
"140","RWA","MAF",0,313787614.7,0
"141","SAU","MAF",1.3e+07,1.6e+07,6e+06
"142","SDN","MAF",1236100821,4062901700.16,0
"143","SEN","MAF",141618633.9,1547453334.64,0
"144","SGP","ASIA",593101488.3,53453271634.21,14827537208
"145","SLB","OECD+",0,40113147.44,0
"146","SLE","MAF",0,7500000,0
"147","SLV","LAM",0,0,0
"148","SOM","MAF",0,0,0
"149","SRB","OECD+",389318400.8,2825054036.8,2635386098
"150","SUR","LAM",54271275.34,93802204.3,0
"151","SVK","OECD+",0,2032608696,0
"152","SVN","OECD+",0,7608695652.13,0
"153","SWE","OECD+",0,40954759754,27034743096
"154","SWZ","MAF",0,7552350.36,0
"155","SYR","MAF",0,0,0
"156","TCD","MAF",55783705.87,135277382.9,0
"157","TGO","MAF",1.87e+08,22700000,0
"158","THA","ASIA",18569972391,58804912572,0
"159","TJK","REF",0,0,0
"160","TKM","REF",815222857.1,2975563428.6,1793490286
"161","TLS","ASIA",0,0,0
"162","TTO","LAM",0,0,0
"163","TUN","MAF",0,268241694.58,0
"164","TUR","OECD+",0,1.2e+07,6.3e+07
"165","TZA","MAF",3200000,384400000,0
"166","UGA","MAF",0,369300000,0
"167","UKR","REF",580871838.9,8444700088,0
"168","URY","LAM",0,8e+08,0
"169","USA","OECD+",3.04e+08,2.139e+09,5.1e+08
"170","UZB","REF",0,0,0
"171","VEN","LAM",0,0,0
"172","VNM","ASIA",0,11990062849.13,0
"173","WSM","OECD+",0,25625367.67,0
"174","ZAF","MAF",1e+06,1.7e+07,1.2e+07
"175","ZMB","MAF",0,252434867.6,0
"176","ZWE","MAF",0,2e+06,0
