"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EXCH","TOT","NATUSD","A","2015",1.33109,
"AUS","EXCH","TOT","NATUSD","A","2016",1.345214,
"AUS","EXCH","TOT","NATUSD","A","2017",1.304758,
"AUS","EXCH","TOT","NATUSD","A","2018",1.338412,
"AUS","EXCH","TOT","NATUSD","A","2019",1.438507,
"AUT","EXCH","TOT","NATUSD","A","2015",0.901296,
"AUT","EXCH","TOT","NATUSD","A","2016",0.903421,
"AUT","EXCH","TOT","NATUSD","A","2017",0.885206,
"AUT","EXCH","TOT","NATUSD","A","2018",0.846773,
"AUT","EXCH","TOT","NATUSD","A","2019",0.893276,
"BEL","EXCH","TOT","NATUSD","A","2015",0.901296,
"BEL","EXCH","TOT","NATUSD","A","2016",0.903421,
"BEL","EXCH","TOT","NATUSD","A","2017",0.885206,
"BEL","EXCH","TOT","NATUSD","A","2018",0.846773,
"BEL","EXCH","TOT","NATUSD","A","2019",0.893276,
"CAN","EXCH","TOT","NATUSD","A","2015",1.278786,
"CAN","EXCH","TOT","NATUSD","A","2016",1.325615,
"CAN","EXCH","TOT","NATUSD","A","2017",1.297936,
"CAN","EXCH","TOT","NATUSD","A","2018",1.295818,
"CAN","EXCH","TOT","NATUSD","A","2019",1.326854,
"CZE","EXCH","TOT","NATUSD","A","2015",24.59875,
"CZE","EXCH","TOT","NATUSD","A","2016",24.439917,
"CZE","EXCH","TOT","NATUSD","A","2017",23.376333,
"CZE","EXCH","TOT","NATUSD","A","2018",21.729917,
"CZE","EXCH","TOT","NATUSD","A","2019",22.93225,
"DNK","EXCH","TOT","NATUSD","A","2015",6.727907,
"DNK","EXCH","TOT","NATUSD","A","2016",6.731718,
"DNK","EXCH","TOT","NATUSD","A","2017",6.602893,
"DNK","EXCH","TOT","NATUSD","A","2018",6.314619,
"DNK","EXCH","TOT","NATUSD","A","2019",6.669447,
"FIN","EXCH","TOT","NATUSD","A","2015",0.901296,
"FIN","EXCH","TOT","NATUSD","A","2016",0.903421,
"FIN","EXCH","TOT","NATUSD","A","2017",0.885206,
"FIN","EXCH","TOT","NATUSD","A","2018",0.846773,
"FIN","EXCH","TOT","NATUSD","A","2019",0.893276,
"FRA","EXCH","TOT","NATUSD","A","2015",0.901296,
"FRA","EXCH","TOT","NATUSD","A","2016",0.903421,
"FRA","EXCH","TOT","NATUSD","A","2017",0.885206,
"FRA","EXCH","TOT","NATUSD","A","2018",0.846773,
"FRA","EXCH","TOT","NATUSD","A","2019",0.893276,
"DEU","EXCH","TOT","NATUSD","A","2015",0.901296,
"DEU","EXCH","TOT","NATUSD","A","2016",0.903421,
"DEU","EXCH","TOT","NATUSD","A","2017",0.885206,
"DEU","EXCH","TOT","NATUSD","A","2018",0.846773,
"DEU","EXCH","TOT","NATUSD","A","2019",0.893276,
"GRC","EXCH","TOT","NATUSD","A","2015",0.901296,
"GRC","EXCH","TOT","NATUSD","A","2016",0.903421,
"GRC","EXCH","TOT","NATUSD","A","2017",0.885206,
"GRC","EXCH","TOT","NATUSD","A","2018",0.846773,
"GRC","EXCH","TOT","NATUSD","A","2019",0.893276,
"HUN","EXCH","TOT","NATUSD","A","2015",279.3325,
"HUN","EXCH","TOT","NATUSD","A","2016",281.523333,
"HUN","EXCH","TOT","NATUSD","A","2017",274.433333,
"HUN","EXCH","TOT","NATUSD","A","2018",270.211667,
"HUN","EXCH","TOT","NATUSD","A","2019",290.66,
"ISL","EXCH","TOT","NATUSD","A","2015",131.918708,
"ISL","EXCH","TOT","NATUSD","A","2016",120.811548,
"ISL","EXCH","TOT","NATUSD","A","2017",106.839572,
"ISL","EXCH","TOT","NATUSD","A","2018",108.300176,
"ISL","EXCH","TOT","NATUSD","A","2019",122.606774,
"IRL","EXCH","TOT","NATUSD","A","2015",0.901296,
"IRL","EXCH","TOT","NATUSD","A","2016",0.903421,
"IRL","EXCH","TOT","NATUSD","A","2017",0.885206,
"IRL","EXCH","TOT","NATUSD","A","2018",0.846773,
"IRL","EXCH","TOT","NATUSD","A","2019",0.893276,
"ITA","EXCH","TOT","NATUSD","A","2015",0.901296,
"ITA","EXCH","TOT","NATUSD","A","2016",0.903421,
"ITA","EXCH","TOT","NATUSD","A","2017",0.885206,
"ITA","EXCH","TOT","NATUSD","A","2018",0.846773,
"ITA","EXCH","TOT","NATUSD","A","2019",0.893276,
"JPN","EXCH","TOT","NATUSD","A","2015",121.044026,
"JPN","EXCH","TOT","NATUSD","A","2016",108.7929,
"JPN","EXCH","TOT","NATUSD","A","2017",112.166141,
"JPN","EXCH","TOT","NATUSD","A","2018",110.423179,
"JPN","EXCH","TOT","NATUSD","A","2019",109.009666,
"KOR","EXCH","TOT","NATUSD","A","2015",1131.1575,
"KOR","EXCH","TOT","NATUSD","A","2016",1160.433435,
"KOR","EXCH","TOT","NATUSD","A","2017",1130.424621,
"KOR","EXCH","TOT","NATUSD","A","2018",1100.5,
"KOR","EXCH","TOT","NATUSD","A","2019",1165.498904,
"LUX","EXCH","TOT","NATUSD","A","2015",0.901296,
"LUX","EXCH","TOT","NATUSD","A","2016",0.903421,
"LUX","EXCH","TOT","NATUSD","A","2017",0.885206,
"LUX","EXCH","TOT","NATUSD","A","2018",0.846773,
"LUX","EXCH","TOT","NATUSD","A","2019",0.893276,
"MEX","EXCH","TOT","NATUSD","A","2015",15.848267,
"MEX","EXCH","TOT","NATUSD","A","2016",18.664058,
"MEX","EXCH","TOT","NATUSD","A","2017",18.926517,
"MEX","EXCH","TOT","NATUSD","A","2018",19.244342,
"MEX","EXCH","TOT","NATUSD","A","2019",19.263633,
"NLD","EXCH","TOT","NATUSD","A","2015",0.901296,
"NLD","EXCH","TOT","NATUSD","A","2016",0.903421,
"NLD","EXCH","TOT","NATUSD","A","2017",0.885206,
"NLD","EXCH","TOT","NATUSD","A","2018",0.846773,
"NLD","EXCH","TOT","NATUSD","A","2019",0.893276,
"NZL","EXCH","TOT","NATUSD","A","2015",1.433975,
"NZL","EXCH","TOT","NATUSD","A","2016",1.436525,
"NZL","EXCH","TOT","NATUSD","A","2017",1.407408,
"NZL","EXCH","TOT","NATUSD","A","2018",1.445258,
"NZL","EXCH","TOT","NATUSD","A","2019",1.517875,
"NOR","EXCH","TOT","NATUSD","A","2015",8.064167,
"NOR","EXCH","TOT","NATUSD","A","2016",8.4,
"NOR","EXCH","TOT","NATUSD","A","2017",8.271667,
"NOR","EXCH","TOT","NATUSD","A","2018",8.1325,
"NOR","EXCH","TOT","NATUSD","A","2019",8.8,
"POL","EXCH","TOT","NATUSD","A","2015",3.7695,
"POL","EXCH","TOT","NATUSD","A","2016",3.942783,
"POL","EXCH","TOT","NATUSD","A","2017",3.779333,
"POL","EXCH","TOT","NATUSD","A","2018",3.611717,
"POL","EXCH","TOT","NATUSD","A","2019",3.839375,
"PRT","EXCH","TOT","NATUSD","A","2015",0.901296,
"PRT","EXCH","TOT","NATUSD","A","2016",0.903421,
"PRT","EXCH","TOT","NATUSD","A","2017",0.885206,
"PRT","EXCH","TOT","NATUSD","A","2018",0.846773,
"PRT","EXCH","TOT","NATUSD","A","2019",0.893276,
"SVK","EXCH","TOT","NATUSD","A","2015",0.901296,
"SVK","EXCH","TOT","NATUSD","A","2016",0.903421,
"SVK","EXCH","TOT","NATUSD","A","2017",0.885206,
"SVK","EXCH","TOT","NATUSD","A","2018",0.846773,
"SVK","EXCH","TOT","NATUSD","A","2019",0.893276,
"ESP","EXCH","TOT","NATUSD","A","2015",0.901296,
"ESP","EXCH","TOT","NATUSD","A","2016",0.903421,
"ESP","EXCH","TOT","NATUSD","A","2017",0.885206,
"ESP","EXCH","TOT","NATUSD","A","2018",0.846773,
"ESP","EXCH","TOT","NATUSD","A","2019",0.893276,
"SWE","EXCH","TOT","NATUSD","A","2015",8.434841,
"SWE","EXCH","TOT","NATUSD","A","2016",8.561992,
"SWE","EXCH","TOT","NATUSD","A","2017",8.548861,
"SWE","EXCH","TOT","NATUSD","A","2018",8.692518,
"SWE","EXCH","TOT","NATUSD","A","2019",9.458349,
"CHE","EXCH","TOT","NATUSD","A","2015",0.962381,
"CHE","EXCH","TOT","NATUSD","A","2016",0.985394,
"CHE","EXCH","TOT","NATUSD","A","2017",0.984692,
"CHE","EXCH","TOT","NATUSD","A","2018",0.977883,
"CHE","EXCH","TOT","NATUSD","A","2019",0.993841,
"TUR","EXCH","TOT","NATUSD","A","2015",2.720009,
"TUR","EXCH","TOT","NATUSD","A","2016",3.020135,
"TUR","EXCH","TOT","NATUSD","A","2017",3.648133,
"TUR","EXCH","TOT","NATUSD","A","2018",4.82837,
"TUR","EXCH","TOT","NATUSD","A","2019",5.673819,
"GBR","EXCH","TOT","NATUSD","A","2015",0.654545,
"GBR","EXCH","TOT","NATUSD","A","2016",0.740634,
"GBR","EXCH","TOT","NATUSD","A","2017",0.776977,
"GBR","EXCH","TOT","NATUSD","A","2018",0.749532,
"GBR","EXCH","TOT","NATUSD","A","2019",0.783445,
"USA","EXCH","TOT","NATUSD","A","2015",1,
"USA","EXCH","TOT","NATUSD","A","2016",1,
"USA","EXCH","TOT","NATUSD","A","2017",1,
"USA","EXCH","TOT","NATUSD","A","2018",1,
"USA","EXCH","TOT","NATUSD","A","2019",1,
"BRA","EXCH","TOT","NATUSD","A","2015",3.326904,
"BRA","EXCH","TOT","NATUSD","A","2016",3.491313,
"BRA","EXCH","TOT","NATUSD","A","2017",3.191389,
"BRA","EXCH","TOT","NATUSD","A","2018",3.653825,
"BRA","EXCH","TOT","NATUSD","A","2019",3.927342,
"CHL","EXCH","TOT","NATUSD","A","2015",654.124084,
"CHL","EXCH","TOT","NATUSD","A","2016",676.957736,
"CHL","EXCH","TOT","NATUSD","A","2017",648.833793,
"CHL","EXCH","TOT","NATUSD","A","2018",641.276813,
"CHL","EXCH","TOT","NATUSD","A","2019",702.897423,
"CHN","EXCH","TOT","NATUSD","A","2015",6.227489,
"CHN","EXCH","TOT","NATUSD","A","2016",6.644478,
"CHN","EXCH","TOT","NATUSD","A","2017",6.758755,
"CHN","EXCH","TOT","NATUSD","A","2018",6.615957,
"CHN","EXCH","TOT","NATUSD","A","2019",6.908385,
"COL","EXCH","TOT","NATUSD","A","2015",2741.880855,
"COL","EXCH","TOT","NATUSD","A","2016",3054.121673,
"COL","EXCH","TOT","NATUSD","A","2017",2951.327402,
"COL","EXCH","TOT","NATUSD","A","2018",2955.70397,
"COL","EXCH","TOT","NATUSD","A","2019",3280.831631,
"EST","EXCH","TOT","NATUSD","A","2015",0.901296,
"EST","EXCH","TOT","NATUSD","A","2016",0.903421,
"EST","EXCH","TOT","NATUSD","A","2017",0.885206,
"EST","EXCH","TOT","NATUSD","A","2018",0.846773,
"EST","EXCH","TOT","NATUSD","A","2019",0.893276,
"IND","EXCH","TOT","NATUSD","A","2015",64.151944,
"IND","EXCH","TOT","NATUSD","A","2016",67.195313,
"IND","EXCH","TOT","NATUSD","A","2017",65.121569,
"IND","EXCH","TOT","NATUSD","A","2018",68.389467,
"IND","EXCH","TOT","NATUSD","A","2019",70.419969,
"IDN","EXCH","TOT","NATUSD","A","2015",13389.412937,
"IDN","EXCH","TOT","NATUSD","A","2016",13308.326802,
"IDN","EXCH","TOT","NATUSD","A","2017",13380.833879,
"IDN","EXCH","TOT","NATUSD","A","2018",14236.938773,
"IDN","EXCH","TOT","NATUSD","A","2019",14147.671361,
"ISR","EXCH","TOT","NATUSD","A","2015",3.886833,
"ISR","EXCH","TOT","NATUSD","A","2016",3.840567,
"ISR","EXCH","TOT","NATUSD","A","2017",3.599556,
"ISR","EXCH","TOT","NATUSD","A","2018",3.590558,
"ISR","EXCH","TOT","NATUSD","A","2019",3.564527,
"RUS","EXCH","TOT","NATUSD","A","2015",60.93765,
"RUS","EXCH","TOT","NATUSD","A","2016",67.055933,
"RUS","EXCH","TOT","NATUSD","A","2017",58.342801,
"RUS","EXCH","TOT","NATUSD","A","2018",62.668133,
"SVN","EXCH","TOT","NATUSD","A","2015",0.901296,
"SVN","EXCH","TOT","NATUSD","A","2016",0.903421,
"SVN","EXCH","TOT","NATUSD","A","2017",0.885206,
"SVN","EXCH","TOT","NATUSD","A","2018",0.846773,
"SVN","EXCH","TOT","NATUSD","A","2019",0.893276,
"ZAF","EXCH","TOT","NATUSD","A","2015",12.758931,
"ZAF","EXCH","TOT","NATUSD","A","2016",14.709611,
"ZAF","EXCH","TOT","NATUSD","A","2017",13.323801,
"ZAF","EXCH","TOT","NATUSD","A","2018",13.233926,
"ZAF","EXCH","TOT","NATUSD","A","2019",14.448427,
"EU28","EXCH","TOT","NATUSD","A","2015",0.901296,
"EU28","EXCH","TOT","NATUSD","A","2016",0.903421,
"EU28","EXCH","TOT","NATUSD","A","2017",0.885206,
"EU28","EXCH","TOT","NATUSD","A","2018",0.846773,
"EU28","EXCH","TOT","NATUSD","A","2019",0.893276,
"LVA","EXCH","TOT","NATUSD","A","2015",0.901296,
"LVA","EXCH","TOT","NATUSD","A","2016",0.903421,
"LVA","EXCH","TOT","NATUSD","A","2017",0.885206,
"LVA","EXCH","TOT","NATUSD","A","2018",0.846773,
"LVA","EXCH","TOT","NATUSD","A","2019",0.893276,
"LTU","EXCH","TOT","NATUSD","A","2015",0.901296,
"LTU","EXCH","TOT","NATUSD","A","2016",0.903421,
"LTU","EXCH","TOT","NATUSD","A","2017",0.885206,
"LTU","EXCH","TOT","NATUSD","A","2018",0.846773,
"LTU","EXCH","TOT","NATUSD","A","2019",0.893276,
"SAU","EXCH","TOT","NATUSD","A","2015",3.75,
"SAU","EXCH","TOT","NATUSD","A","2016",3.75,
"SAU","EXCH","TOT","NATUSD","A","2017",3.75,
"SAU","EXCH","TOT","NATUSD","A","2018",3.75,
"SAU","EXCH","TOT","NATUSD","A","2019",3.75,
"EA19","EXCH","TOT","NATUSD","A","2015",0.901296,
"EA19","EXCH","TOT","NATUSD","A","2016",0.903421,
"EA19","EXCH","TOT","NATUSD","A","2017",0.885206,
"EA19","EXCH","TOT","NATUSD","A","2018",0.846773,
"EA19","EXCH","TOT","NATUSD","A","2019",0.893276,
"ARG","EXCH","TOT","NATUSD","A","2015",9.233186,
"ARG","EXCH","TOT","NATUSD","A","2016",14.758175,
"ARG","EXCH","TOT","NATUSD","A","2017",16.562707,
"ARG","EXCH","TOT","NATUSD","A","2018",28.094992,
"ARG","EXCH","TOT","NATUSD","A","2019",48.147892,
"CRI","EXCH","TOT","NATUSD","A","2015",534.56577,
"CRI","EXCH","TOT","NATUSD","A","2016",544.739367,
"CRI","EXCH","TOT","NATUSD","A","2017",567.51309,
"CRI","EXCH","TOT","NATUSD","A","2018",576.972501,
"CRI","EXCH","TOT","NATUSD","A","2019",587.294596,
"BGR","EXCH","TOT","NATUSD","A","2015",1.7644,
"BGR","EXCH","TOT","NATUSD","A","2016",1.768042,
"BGR","EXCH","TOT","NATUSD","A","2017",1.735458,
"BGR","EXCH","TOT","NATUSD","A","2018",1.657042,
"BGR","EXCH","TOT","NATUSD","A","2019",1.747042,
"HRV","EXCH","TOT","NATUSD","A","2015",6.858304,
"HRV","EXCH","TOT","NATUSD","A","2016",6.80599,
"HRV","EXCH","TOT","NATUSD","A","2017",6.623831,
"HRV","EXCH","TOT","NATUSD","A","2018",6.279025,
"HRV","EXCH","TOT","NATUSD","A","2019",6.622545,
"CYP","EXCH","TOT","NATUSD","A","2015",0.901296,
"CYP","EXCH","TOT","NATUSD","A","2016",0.903421,
"CYP","EXCH","TOT","NATUSD","A","2017",0.885206,
"CYP","EXCH","TOT","NATUSD","A","2018",0.846773,
"CYP","EXCH","TOT","NATUSD","A","2019",0.893276,
"MLT","EXCH","TOT","NATUSD","A","2015",0.901296,
"MLT","EXCH","TOT","NATUSD","A","2016",0.903421,
"MLT","EXCH","TOT","NATUSD","A","2017",0.885206,
"MLT","EXCH","TOT","NATUSD","A","2018",0.846773,
"MLT","EXCH","TOT","NATUSD","A","2019",0.893276,
"PER","EXCH","TOT","NATUSD","A","2015",3.184439,
"PER","EXCH","TOT","NATUSD","A","2016",3.375062,
"PER","EXCH","TOT","NATUSD","A","2017",3.260488,
"PER","EXCH","TOT","NATUSD","A","2018",3.286603,
"ROU","EXCH","TOT","NATUSD","A","2015",4.005667,
"ROU","EXCH","TOT","NATUSD","A","2016",4.059183,
"ROU","EXCH","TOT","NATUSD","A","2017",4.052492,
"ROU","EXCH","TOT","NATUSD","A","2018",3.941617,
"ROU","EXCH","TOT","NATUSD","A","2019",4.237925,
"MKD","EXCH","TOT","NATUSD","A","2015",55.537075,
"MKD","EXCH","TOT","NATUSD","A","2016",55.731725,
"MKD","EXCH","TOT","NATUSD","A","2017",54.665458,
"MKD","EXCH","TOT","NATUSD","A","2018",52.107108,
"MKD","EXCH","TOT","NATUSD","A","2019",54.9472,
"MDG","EXCH","TOT","NATUSD","A","2015",2933.508333,
"MDG","EXCH","TOT","NATUSD","A","2016",3176.539167,
"MDG","EXCH","TOT","NATUSD","A","2017",3116.11,
"MDG","EXCH","TOT","NATUSD","A","2018",3334.752255,
"MAR","EXCH","TOT","NATUSD","A","2015",9.764348,
"MAR","EXCH","TOT","NATUSD","A","2016",9.807476,
"MAR","EXCH","TOT","NATUSD","A","2017",9.691998,
"MAR","EXCH","TOT","NATUSD","A","2018",9.386102,
"ZMB","EXCH","TOT","NATUSD","A","2015",8.631667,
"ZMB","EXCH","TOT","NATUSD","A","2016",10.3075,
"ZMB","EXCH","TOT","NATUSD","A","2017",9.517803,
"ZMB","EXCH","TOT","NATUSD","A","2018",10.458143,
"SRB","EXCH","TOT","NATUSD","A","2015",108.811425,
"SRB","EXCH","TOT","NATUSD","A","2016",111.27785,
"SRB","EXCH","TOT","NATUSD","A","2017",107.75885,
"SRB","EXCH","TOT","NATUSD","A","2018",100.175075,
"HKG","EXCH","TOT","NATUSD","A","2015",7.75175,
"HKG","EXCH","TOT","NATUSD","A","2016",7.76225,
"HKG","EXCH","TOT","NATUSD","A","2017",7.79325,
"HKG","EXCH","TOT","NATUSD","A","2018",7.8385,
