"","country.code","country","region","gdp.2018","ex.rate"
"2","AFG","Afghanistan","ASIA",19362969582.3643,72.083247177304
"3","AGO","Angola","MAF",105750987618.63,252.855747731297
"4","ALB","Albania","OECD90+EU",15102500898.238,107.989166666667
"7","ARE","United Arab Emirates","MAF",414178942592.479,3.6725
"8","ARG","Argentina","LAM",519871519807.795,28.0949916666667
"9","ARM","Armenia","REF",12433089919.0459,482.987946590235
"12","AUS","Australia","OECD90+EU",1433904348500.12,1.33841214646451
"13","AUT","Austria","OECD90+EU",455285818035.125,NA
"14","AZE","Azerbaijan","REF",46939529411.7647,1.70001666666667
"15","BDI","Burundi","MAF",3036931818.18182,1782.876875
"16","BEL","Belgium","OECD90+EU",542761092103.469,NA
"17","BEN","Benin","MAF",10354274634.9108,555.446458398226
"18","BFA","Burkina Faso","MAF",14124775068.569,555.717830435607
"19","BGD","Bangladesh","ASIA",274024958965.892,83.4662019166667
"20","BGR","Bulgaria","OECD90+EU",65132951116.4756,1.65704166666667
"21","BHR","Bahrain","MAF",37746196808.5106,0.376
"22","BHS","Bahamas","LAM",12424500000,1
"23","BIH","Bosnia and Herzegovina","OECD90+EU",20161865419.4327,1.65698544113543
"24","BLR","Belarus","REF",59662495092.2654,2.03760833333333
"25","BLZ","Belize","LAM",1871203164.08274,2
"27","BOL","Bolivia","LAM",40287647756.8741,6.91
"28","BRA","Brazil","LAM",1868626087908.48,3.65382536145755
"29","BRB","Barbados","LAM",5145000000,2
"30","BRN","Brunei Darussalam","ASIA",13567351175.0315,1.34891856542537
"31","BTN","Bhutan","ASIA",2446674101.3737,NA
"32","BWA","Botswana","MAF",18616018903.4434,10.199975
"33","CAF","Central African Republic","MAF",2219894701.95124,555.717830435607
"34","CAN","Canada","OECD90+EU",1713341704877.01,1.29581792813534
"36","CHE","Switzerland","OECD90+EU",705140354166.312,0.977883333333333
"38","CHL","Chile","LAM",298231133532.749,641.276813066395
"39","CHN","China","ASIA",13608151864637.9,6.61595717735439
"40","CIV","Cote d'Ivoire","MAF",43007047821.7541,555.717830435607
"41","CMR","Cameroon","MAF",38675205293.0462,555.717830435606
"42","COD","Democratic Republic of the Congo","MAF",47227535290.9218,1622.52350162292
"43","COG","Congo","MAF",11263682694.0393,555.717830435607
"44","COL","Colombia","LAM",331047040087.878,2955.70396997842
"45","COM","Comoros","MAF",1177955048.65299,416.584843798669
"46","CPV","Cape Verde","MAF",1976814276.50792,93.4135789085279
"47","CRI","Costa Rica","LAM",60130106115.6294,576.97250124808
"49","CUB","Cuba","LAM",100023000000,NA
"52","CYP","Cyprus","OECD90+EU",24961988663.2026,NA
"53","CZE","Czech Republic","OECD90+EU",245225882903.37,21.7299166666667
"54","DEU","Germany","OECD90+EU",3947620162502.96,NA
"55","DJI","Djibouti","MAF",2955912228.22417,NA
"57","DNK","Denmark","OECD90+EU",355675329085.952,6.31461878666667
"58","DOM","Dominican Republic","LAM",85555390387.0355,49.5099928571429
"59","DZA","Algeria","MAF",173757952824.25,116.593791666667
"65","ECU","Ecuador","LAM",108398058000,1
"66","EGY","Egypt","MAF",250894760351.232,17.7672904218107
"68","ERI","Eritrea","MAF",NA,15.075
"69","ESP","Spain","OECD90+EU",1419041949909.82,NA
"70","EST","Estonia","OECD90+EU",30732144528.9795,NA
"71","ETH","Ethiopia","MAF",84355604752.5299,27.4293865941667
"74","FIN","Finland","OECD90+EU",276743120515.764,NA
"75","FJI","Fiji","OECD90+EU",5536759658.87012,2.08738244076512
"76","FRA","France","OECD90+EU",2777535239277.98,NA
"79","GAB","Gabon","MAF",16853589311.4139,555.717830435607
"80","GBR","United Kingdom","OECD90+EU",2855296731521.96,0.749531540259847
"81","GEO","Georgia","REF",17599660629.0202,2.53411083333333
"82","GHA","Ghana","MAF",65556464048.1539,4.58681666666667
"85","GMB","Gambia","MAF",1632823198.95828,48.1513455928207
"86","GNB","Guinea-Bissau","MAF",1458156026.16376,NA
"87","GNQ","Equatorial Guinea","MAF",13432377049.5402,555.717830435607
"88","GNQ","Equatorial Guinea","MAF",13432377049.5402,555.717830435607
"89","GRC","Greece","OECD90+EU",218031844583.994,NA
"92","GTM","Guatemala","LAM",78460447919.9915,7.51916458333333
"93","GUM","Guam","OECD90+EU",5920000000,NA
"94","GUY","Guyana","LAM",3878662620.77146,207.716666666667
"96","HKG","Hong Kong","ASIA",362682018243.286,7.8385
"97","HND","Honduras","LAM",23969890430.7882,23.9027282925432
"99","HRV","Croatia","OECD90+EU",60971699315.1776,6.27902525
"100","HTI","Haiti","LAM",9658721168.86849,68.0317539812812
"101","HUN","Hungary","OECD90+EU",157882912778.254,270.211666666667
"106","IDN","Indonesia","ASIA",1042173300625.55,14236.9387734818
"109","IND","India","ASIA",2718732231257.57,68.3894670935421
"111","IRL","Ireland","OECD90+EU",382487490532.479,NA
"112","IRN","Iran","MAF",NA,40864.329009777
"113","IRQ","Iraq","MAF",224228010477.889,NA
"114","ISL","Iceland","OECD90+EU",25878475760.1131,108.300176306626
"115","ISR","Israel","MAF",370587977153.583,3.59055812689938
"116","ITA","Italy","OECD90+EU",2083864259622.65,NA
"117","JAM","Jamaica","LAM",15713908816.1463,128.87151906466
"118","JOR","Jordan","MAF",42231295774.6479,0.71
"119","JPN","Japan","OECD90+EU",4971323079771.87,110.42317934106
"120","KAZ","Kazakhstan","REF",179339994859.384,344.705833333333
"121","KEN","Kenya","MAF",87908262519.9164,101.301574049018
"122","KGZ","Kyrgyzstan","REF",8092836608.78875,68.840320327701
"123","KHM","Cambodia","ASIA",24542474061.2426,4051.16690028162
"126","KOR","South Korea","ASIA",1619423701169.63,1100.5
"127","KWT","Kuwait","MAF",140645364238.411,0.301956493524177
"129","LAO","Lao People's Democratic Republic","ASIA",17953786416.1431,8489.23990946276
"130","LBN","Lebanon","MAF",56639155555.5556,1507.5
"131","LBR","Liberia","MAF",3264000000,144.055575801282
"132","LBY","Libyan Arab Jamahiriya","MAF",48364208571.4286,1.36496666666667
"138","LKA","Sri Lanka","ASIA",88900770857.6351,162.464858736778
"141","LSO","Lesotho","MAF",2738786277.79392,13.2409111302562
"143","LTU","Lithuania","OECD90+EU",53429066429.1251,NA
"144","LUX","Luxembourg","OECD90+EU",70885325883.0941,NA
"145","LVA","Latvia","OECD90+EU",34409229177.9105,NA
"146","MAC","Macao","ASIA",55084050789.7182,8.07250741666667
"148","MAR","Morocco","MAF",117921394402.361,9.38610242091972
"150","MDA","Republic of Moldova","REF",11443671435.9024,16.8020517223502
"151","MDG","Madagascar","MAF",13853432868.227,3334.75225490196
"152","MDV","Maldives","ASIA",5327457149.72581,15.3908372695853
"154","MEX","Mexico","LAM",1220699479845.98,19.2443416666667
"157","MKD","Macedonia","OECD90+EU",12672131053.1578,52.1071083333333
"158","MLI","Mali","MAF",17163432832.0957,555.717830435607
"159","MLT","Malta","OECD90+EU",14553422928.8831,NA
"160","MMR","Myanmar","ASIA",71214803377.8284,1429.80797520107
"162","MNE","Montenegro","OECD90+EU",5504166666.66667,0.847186371112141
"163","MNG","Mongolia","ASIA",13066749138.3261,2472.48405114235
"165","MOZ","Mozambique","MAF",14717223206.9,60.3262076432022
"166","MRT","Mauritania","MAF",5234817927.17087,35.6775
"167","MUS","Mauritius","MAF",14220348672.7333,33.93445
"168","MWI","Malawi","MAF",7064971176.34408,732.333333333333
"169","MYS","Malaysia","ASIA",358581943446.259,4.03513013706806
"171","NAM","Namibia","MAF",14521711633.9533,13.2339416666667
"172","NCL","New Caledonia","OECD90+EU",NA,101.096189881643
"173","NER","Niger","MAF",9290938457.2883,555.717830435607
"174","NGA","Nigeria","MAF",397269616080.908,306.083688245234
"175","NIC","Nicaragua","LAM",13117845416.6297,31.5532123338754
"176","NLD","Netherlands","OECD90+EU",913658465709.125,NA
"177","NOR","Norway","OECD90+EU",434166615431.909,8.1325
"178","NPL","Nepal","ASIA",29040398982.3466,108.930134109273
"180","NZL","New Zealand","OECD90+EU",204923917869.355,1.44525833333333
"182","OMN","Oman","MAF",79276723016.9051,0.3845
"184","PAK","Pakistan","ASIA",314588210501.063,121.824068875756
"185","PAN","Panama","LAM",65055100000,1
"186","PER","Peru","LAM",222044970486.217,3.28660269803296
"187","PHL","Philippines","ASIA",330910343610.956,52.6614299539683
"189","PNG","Papua New Guinea","ASIA",23497607690.1178,3.27903663433933
"190","POL","Poland","OECD90+EU",585663814824.044,NA
"192","PRI","Puerto Rico","LAM",101130900000,NA
"194","PRT","Portugal","OECD90+EU",240674524464.24,NA
"195","PRY","Paraguay","LAM",40496953779.071,5732.10455572912
"199","PYF","French Polynesia","OECD90+EU",NA,101.096189881643
"200","QAT","Qatar","MAF",191362087912.088,3.64
"201","ROU","Romania","OECD90+EU",239552516744.469,3.94161666666667
"202","RUS","Russia","REF",1657554647149.87,62.6681333333333
"203","RWA","Rwanda","MAF",9508715596.4368,861.093412166667
"205","SAU","Saudi Arabia","MAF",786521831571.957,3.75
"206","SDN","Sudan","MAF",40851536133.7642,24.3289109018116
"207","SEN","Senegal","MAF",24129599551.7869,555.717830435607
"208","SGP","Singapore","ASIA",364156657769.87,1.34884166666667
"209","SLB","Solomon Islands","OECD90+EU",1395608472.01325,7.95250486131003
"210","SLE","Sierra Leone","MAF",4085114794.22324,7931.63174973728
"211","SLV","El Salvador","LAM",26057000000,1
"213","SOM","Somalia","MAF",4720727278.18833,NA
"214","SRB","Serbia","OECD90+EU",50597289146.7041,100.175075
"220","SUR","Suriname","LAM",3590753768.84422,7.4625111984127
"221","SVK","Slovakia","OECD90+EU",105904632155.755,NA
"222","SVN","Slovenia","OECD90+EU",54007972106.4629,NA
"223","SWE","Sweden","OECD90+EU",556086488936.559,8.69251833333333
"224","SWZ","Swaziland","MAF",4710618471.93167,13.2409111302562
"227","SYR","Syrian","MAF",NA,NA
"229","TCD","Chad","MAF",11273115239.4255,555.717830435607
"232","TGO","Togo","MAF",5358722982.70893,NA
"233","THA","Thailand","ASIA",504992757704.997,32.3102257431458
"234","TJK","Tajikistan","REF",7522947810.12326,9.15121666666667
"235","TKM","Turkmenistan","REF",40761142857.1429,NA
"237","TLS","East Timor","ASIA",2581000000,1
"242","TTO","Trinidad and Tobago","LAM",23808146747.7994,6.77075089824606
"243","TUN","Tunisia","MAF",39871132267.9361,2.64686666666667
"244","TUR","Turkey","OECD90+EU",771350330455.267,4.82837014720942
"246","TZA","Tanzania","MAF",58001200572.3965,2263.78063397683
"247","UGA","Uganda","MAF",27461440192.3549,3727.06899484612
"248","UKR","Ukraine","REF",130832374404.882,27.2004923333333
"250","URY","Uruguay","LAM",59596885024.3487,30.7252583333333
"251","USA","United States of America","OECD90+EU",20544343456936.5,1
"252","UZB","Uzbekistan","REF",50499921557.5105,8069.60623655914
"254","VEN","Venezuela","LAM",NA,NA
"257","VNM","Vietnam","ASIA",245213686369.157,22602.05
"260","WSM","Samoa","OECD90+EU",820491798.30076,2.58727995057261
"263","ZAF","South Africa","MAF",368288939768.322,13.2339264715833
"264","ZMB","Zambia","MAF",26720073435.9014,10.4581432223713
"265","ZWE","Zimbabwe","MAF",31000519447.175,NA
